nome, trocas,,,
L1-1,17,,,
L1-2,18,,,
L1-3,18,,,
L1-4,18,,,
L1-5,15,,,
L1-6,19,,,
L1-7,17,,,
L1-8,17,,,
L1-9,16,,,
L1-10,17,,,
L2-1,15,,,
L2-2,15,,,
L2-3,15,,,
L2-4,15,,,
L2-5,15,,,
L2-6,15,,,
L2-7,15,,,
L2-8,15,,,
L2-9,15,,,
L2-10,15,,,
L3-1,15,,,
L3-2,21,,,
L3-3,15,,,
L3-4,16,,,
L3-5,15,,,
L3-6,18,,,
L3-7,18,,,
L3-8,24,,,
L3-9,15,,,
L3-10,17,,,
L4-1,17,,,
L4-2,21,,,
L4-3,19,,,
L4-4,18,,,
L4-5,21,,,
L4-6,24,,,
L4-7,18,,,
L4-8,19,,,
L4-9,20,,,
L4-10,20,,,
L5-1,28,,,
L5-2,22,,,
L5-3,21,,,
L5-4,27,,,
L5-5,28,,,
L5-6,22,,,
L5-7,28,,,
L5-8,21,,,
L5-9,31,,,
L5-10,22,,,
L6-1,30,,,
L6-2,26,,,
L6-3,28,,,
L6-4,29,,,
L6-5,25,,,
L6-6,28,,,
L6-7,25,,,
L6-8,24,,,
L6-9,26,,,
L6-10,34,,,
L7-1,20,,,
L7-2,20,,,
L7-3,20,,,
L7-4,20,,,
L7-5,20,,,
L7-6,20,,,
L7-7,20,,,
L7-8,20,,,
L7-9,20,,,
L7-10,20,,,
L8-1,23,,,
L8-2,23,,,
L8-3,22,,,
L8-4,23,,,
L8-5,24,,,
L8-6,24,,,
L8-7,24,,,
L8-8,24,,,
L8-9,22,,,
L8-10,24,,,
L9-1,20,,,
L9-2,20,,,
L9-3,20,,,
L9-4,20,,,
L9-5,21,,,
L9-6,20,,,
L9-7,20,,,
L9-8,21,,,
L9-9,20,,,
L9-10,21,,,
L10-1,25,,,
L10-2,25,,,
L10-3,20,,,
L10-4,23,,,
L10-5,26,,,
L10-6,26,,,
L10-7,28,,,
L10-8,22,,,
L10-9,24,,,
L10-10,20,,,
L11-1,28,,,
L11-2,29,,,
L11-3,28,,,
L11-4,29,,,
L11-5,24,,,
L11-6,28,,,
L11-7,30,,,
L11-8,29,,,
L11-9,28,,,
L11-10,28,,,
L12-1,28,,,
L12-2,28,,,
L12-3,30,,,
L12-4,34,,,
L12-5,28,,,
L12-6,31,,,
L12-7,25,,,
L12-8,32,,,
L12-9,27,,,
L12-10,27,,,
L13-1,33,,,
L13-2,34,,,
L13-3,33,,,
L13-4,36,,,
L13-5,30,,,
L13-6,31,,,
L13-7,32,,,
L13-8,31,,,
L13-9,34,,,
L13-10,29,,,
L14-1,26,,,
L14-2,26,,,
L14-3,25,,,
L14-4,26,,,
L14-5,25,,,
L14-6,25,,,
L14-7,26,,,
L14-8,25,,,
L14-9,25,,,
L14-10,25,,,
L15-1,29,,,
L15-2,31,,,
L15-3,27,,,
L15-4,29,,,
L15-5,27,,,
L15-6,27,,,
L15-7,31,,,
L15-8,30,,,
L15-9,28,,,
L15-10,28,,,
L16-1,30,,,
L16-2,28,,,
L16-3,31,,,
L16-4,30,,,
L16-5,28,,,
L16-6,37,,,
L16-7,29,,,
L16-8,32,,,
L16-9,35,,,
L16-10,31,,,
L17-1,40,,,
L17-2,40,,,
L17-3,40,,,
L17-4,37,,,
L17-5,36,,,
L17-6,41,,,
L17-7,39,,,
L17-8,39,,,
L17-9,38,,,
L17-10,35,,,
L18-1,25,,,
L18-2,25,,,
L18-3,25,,,
L18-4,25,,,
L18-5,25,,,
L18-6,25,,,
L18-7,25,,,
L18-8,25,,,
L18-9,25,,,
L18-10,25,,,
L19-1,25,,,
L19-2,25,,,
L19-3,25,,,
L19-4,25,,,
L19-5,25,,,
L19-6,25,,,
L19-7,25,,,
L19-8,25,,,
L19-9,25,,,
L19-10,25,,,
L20-1,25,,,
L20-2,29,,,
L20-3,31,,,
L20-4,25,,,
L20-5,25,,,
L20-6,25,,,
L20-7,25,,,
L20-8,26,,,
L20-9,28,,,
L20-10,28,,,
L21-1,25,,,
L21-2,25,,,
L21-3,25,,,
L21-4,25,,,
L21-5,25,,,
L21-6,25,,,
L21-7,25,,,
L21-8,25,,,
L21-9,25,,,
L21-10,25,,,
L22-1,26,,,
L22-2,25,,,
L22-3,25,,,
L22-4,25,,,
L22-5,26,,,
L22-6,25,,,
